1,7.679
2,26.106
3,14.898
4,3.641
5,8.203
6,5.945
7,4.680
8,7.241
9,7.357
10,2.342
1,3.137
2,3.199
3,4.882
4,0.953
5,2.173
6,3.656
7,2.290
8,2.138
9,5.306
10,2.823
